instruction,intent,key,group,split
question about cancelling order {{Order Number}},cancel_order,question about cancelling order {{order number}},question about cancelling order placeholder,train
i have a question about cancelling oorder {{Order Number}},cancel_order,i have a question about cancelling oorder {{order number}},i have a question about cancelling oorder placeholder,train
i need help cancelling puchase {{Order Number}},cancel_order,i need help cancelling puchase {{order number}},i need help cancelling puchase placeholder,train
I need to cancel purchase {{Order Number}},cancel_order,i need to cancel purchase {{order number}},i need to cancel purchase placeholder,train
"I cannot afford this order, cancel purchase {{Order Number}}",cancel_order,"i cannot afford this order, cancel purchase {{order number}}",i cannot afford this order cancel purchase placeholder,train
"I can no longer afford order {{Order Number}}, cancel it",cancel_order,"i can no longer afford order {{order number}}, cancel it",i can no longer afford order placeholder cancel it,train
I have got to cancel purchase {{Order Number}},cancel_order,i have got to cancel purchase {{order number}},i have got to cancel purchase placeholder,train
i need help canceling purchase {{Order Number}},cancel_order,i need help canceling purchase {{order number}},i need help canceling purchase placeholder,train
i dont know what to do to cancel order {{Order Number}},cancel_order,i dont know what to do to cancel order {{order number}},i dont know what to do to cancel order placeholder,train
problem with canceling purchase {{Order Number}},cancel_order,problem with canceling purchase {{order number}},problem with canceling purchase placeholder,train
can you help me canceling order {{Order Number}}?,cancel_order,can you help me canceling order {{order number}}?,can you help me canceling order placeholder,train
help  me canceling purchase {{Order Number}},cancel_order,help me canceling purchase {{order number}},help me canceling purchase placeholder,train
"I bought the same item twice, cancel order {{Order Number}}",cancel_order,"i bought the same item twice, cancel order {{order number}}",i bought the same item twice cancel order placeholder,train
need help with canceling order {{Order Number}},cancel_order,need help with canceling order {{order number}},need help with canceling order placeholder,train
i want assistance canceling order {{Order Number}},cancel_order,i want assistance canceling order {{order number}},i want assistance canceling order placeholder,train
I'm trying to cancel order {{Order Number}},cancel_order,i'm trying to cancel order {{order number}},i m trying to cancel order placeholder,train
i have problems with canceling order {{Order Number}},cancel_order,i have problems with canceling order {{order number}},i have problems with canceling order placeholder,train
assistance with cancelling pucrhase {{Order Number}},cancel_order,assistance with cancelling pucrhase {{order number}},assistance with cancelling pucrhase placeholder,train
need help with canceling purchase {{Order Number}},cancel_order,need help with canceling purchase {{order number}},need help with canceling purchase placeholder,train
help cnceling order {{Order Number}},cancel_order,help cnceling order {{order number}},help cnceling order placeholder,train
need assistance cancelling order {{Order Number}},cancel_order,need assistance cancelling order {{order number}},need assistance cancelling order placeholder,train
problem with cancelling order {{Order Number}},cancel_order,problem with cancelling order {{order number}},problem with cancelling order placeholder,train
assistnace cancelling order {{Order Number}},cancel_order,assistnace cancelling order {{order number}},assistnace cancelling order placeholder,train
have a problem with canceling order {{Order Number}},cancel_order,have a problem with canceling order {{order number}},have a problem with canceling order placeholder,train
i need help with canceling purchase {{Order Number}},cancel_order,i need help with canceling purchase {{order number}},i need help with canceling purchase placeholder,train
want assistance to cancel order  {{Order Number}},cancel_order,want assistance to cancel order {{order number}},want assistance to cancel order placeholder,train
i do not know how i can cancel purchase {{Order Number}},cancel_order,i do not know how i can cancel purchase {{order number}},i do not know how i can cancel purchase placeholder,train
need assistance to cancel order {{Order Number}},cancel_order,need assistance to cancel order {{order number}},need assistance to cancel order placeholder,train
I would like to cancel purchase {{Order Number}},cancel_order,i would like to cancel purchase {{order number}},i would like to cancel purchase placeholder,train
i do not want these article i try to cancel order {{Order Number}},cancel_order,i do not want these article i try to cancel order {{order number}},i do not want these article i try to cancel order placeholder,train
problems with cancelling order {{Order Number}},cancel_order,problems with cancelling order {{order number}},problems with cancelling order placeholder,train
assistance canceling purchase {{Order Number}},cancel_order,assistance canceling purchase {{order number}},assistance canceling purchase placeholder,train
cance order {{Order Number}},cancel_order,cance order {{order number}},cance order placeholder,train
assistance cancelling purchase {{Order Number}},cancel_order,assistance cancelling purchase {{order number}},assistance cancelling purchase placeholder,train
canceling order {{Order Number}},cancel_order,canceling order {{order number}},canceling order placeholder,train
how to cancel order {{Order Number}},cancel_order,how to cancel order {{order number}},how to cancel order placeholder,train
